part_date;part_dec;teach_mod;hei;know_area;gender;age_group;mar_status;comp_home;internet;ethnic;educ;income_home;children;family_size;prev_exp;pe1;pe2;pe3;ee1;ee2;ee3;ee4;si1;si2;si3;fc1;fc2;fc3;fc4;hm1;hm2;hm3;ht1;ht2;ht3;lv1;lv2;lv3;ti1;ti2;ti3;as1;as2;as3;bi1;bi2;bi3
2020-10-30;Sí, deseo participar.;Ambas;Universidad Nacional De Educación;MATEMÁTICAS;Male;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Doctorado;Entre 1500 y 5000;2;4;Nula;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020-10-30;Sí, deseo participar.;Presencial;Universidad Laica Eloy Alfaro De Manabí;COMPUTACIÓN Y CIENCIAS DE LA INFORMACIÓN;Male;45 años a 54 años;Unión de hecho;Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;6;Alta;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;5;5;5;5;5;5;5;5;5;5;5;5
2020-10-30;Sí, deseo participar.;Ambas;Universidad De Guayaquil;INGENIERÍA ELÉCTRICA, ELECTRÓNICA E INFORMÁTICA;Female;25 años a 34 años;Divorciado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;1;2;Baja;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;4;5;5;5;5;4;4;4
2020-10-30;Sí, deseo participar.;Presencial;Universidad Central Del Ecuador;COMPUTACIÓN Y CIENCIAS DE LA INFORMACIÓN;Male;25 años a 34 años;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;0;1;Alta;4;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;4;5;4;5;5;5;4;5;5;5;5;5;5;5
2020-10-30;Sí, deseo participar.;Presencial;Instituto De Altos Estudios Nacionales (IAEN);CIENCIAS DE LA EDUCACIÓN;Female;Más de 54;Soltero(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;3;Ni alta ni baja;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5
2020-10-30;Sí, deseo participar.;Ambas;Universidad Católica De Santiago De Guayaquil;MATEMÁTICAS;Male;Más de 54;Viudo(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;4;Ni alta ni baja;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;4;4;5;5;5;5;4;5;4;5;5;5;5;5
2020-10-30;Sí, deseo participar.;Ambas;Universidad De Guayaquil;INGENIERÍA ELÉCTRICA, ELECTRÓNICA E INFORMÁTICA;Male;25 años a 34 años;Soltero(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;0;4;Nula;5;4;4;4;4;4;4;4;1;3;4;4;4;4;3;4;4;3;3;1;3;4;3;4;2;4;3;4;4;4;5;5
2020-10-30;Sí, deseo participar.;Presencial;Universidad Católica De Cuenca;COMPUTACIÓN Y CIENCIAS DE LA INFORMACIÓN;Female;45 años a 54 años;Divorciado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;2;4;Baja;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;2;5;5;5;3;4;5;5;5;5;5;5
2020-10-30;Sí, deseo participar.;Ambas;Universidad Técnica Del Norte;CIENCIAS FÍSICAS;Male;35 años a 44 años;Soltero(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;0;4;Alta;5;4;4;5;4;4;4;3;2;3;5;5;3;5;4;3;3;4;4;4;3;3;4;4;2;2;4;3;4;5;4;5
2020-10-30;Sí, deseo participar.;Presencial;Pontificia Universidad Católica Del Ecuador;OTRAS INGENIERÍAS Y TECNOLOGÍAS;Male;25 años a 34 años;Divorciado(a);Sí;Sí;Mestizo;Doctorado;Entre 1500 y 5000;0;6;Nula;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020-10-30;Sí, deseo participar.;Virtual (a distancia);Universidad De Las Américas;INGENIERÍA ELÉCTRICA, ELECTRÓNICA E INFORMÁTICA;Male;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;2;4;Ni alta ni baja;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020-10-30;Sí, deseo participar.;Presencial;Instituto De Altos Estudios Nacionales (IAEN);COMPUTACIÓN Y CIENCIAS DE LA INFORMACIÓN;Female;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;2;4;Ni alta ni baja;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;3;5;5;5;5;5;5;5;5;5;5;4;5
2020-10-30;Sí, deseo participar.;Ambas;Universidad De Guayaquil;CIENCIAS DE LA EDUCACIÓN;Female;35 años a 44 años;Divorciado(a);Sí;Sí;Mestizo;Tercer Nivel (universitario);Menor a 1500;2;4;Baja;2;3;2;2;2;3;3;1;1;1;5;4;4;4;3;3;3;1;1;1;1;1;1;1;1;1;2;1;1;3;3;4
2020-10-30;Sí, deseo participar.;Virtual (a distancia);Universidad Técnica De Ambato;PERIODISMO Y COMUNICACIONES;Female;Más de 54;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;2;3;Ni alta ni baja;5;5;5;4;5;4;5;3;3;4;5;4;5;4;4;3;4;5;4;5;3;5;5;4;3;4;3;4;4;5;5;5
2020-10-30;Sí, deseo participar.;Virtual (a distancia);Universidad De Las Artes;ECONOMÍA Y NEGOCIOS;Female;Más de 54;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;4;Alta;5;4;4;5;4;5;5;4;5;4;5;4;4;5;4;5;4;5;5;4;4;5;5;5;4;5;5;5;4;5;5;5
2020-10-30;Sí, deseo participar.;Virtual (a distancia);Universidad Del Azuay;OTRAS INGENIERÍAS Y TECNOLOGÍAS;Male;45 años a 54 años;Unión de hecho;Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;4;Baja;5;4;4;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
